date,numbers
21/12/2019,"5,6,11,19,28,35,36,10"
28/12/2019,"2,10,19,20,25,30,34,22"
4/1/2020,"1,4,6,16,24,25,34,7"
11/1/2020,"2,5,10,13,14,23,34,33"
18/01/2020,"6,8,13,14,17,18,35,5"
25/01/2020,"1,9,10,16,17,33,36,34"
1/2/2020,"1,8,9,10,19,21,32,13"
8/2/2020,"1,9,11,13,23,24,36,18"
15/02/2020,"9,10,12,21,22,32,35,8"
22/02/2020,"1,5,7,9,27,30,36,8"
29/02/2020,"15,16,23,24,29,31,33,14"
7/3/2020,"1,6,8,18,25,26,27,19"
14/03/2020,"2,5,6,10,16,20,25,27"
21/03/2020,"8,11,14,23,24,26,31,30"
28/03/2020,"3,7,12,16,28,29,35,5"
4/4/2020,"2,3,8,11,20,31,35,7"
11/1/2020,"8,12,17,20,27,34,35,28"
18/04/2020,"5,9,10,13,14,28,34,18"
25/04/2020,"1,8,13,17,20,24,27,6"
2/5/2020,"3,4,10,15,16,28,31,19"
9/5/2020,"18,25,26,29,31,34,36,22"
16/05/2020,"8,11,20,25,26,28,36,32"
23/05/2020,"7,11,13,14,22,27,28,5"
30/05/2020,"3,9,17,18,21,28,36,12"
6/6/2020,"5,18,22,27,30,34,35,28"
13/06/2020,"2,3,4,15,16,20,22,14"
20/06/2020,"8,14,16,25,27,29,36,11"
27/06/2020,"7,14,15,29,30,32,36,5"
4/7/2020,"2,5,7,10,21,23,25,16"
11/7/2020,"4,9,19,21,26,28,33,1"
18/07/2020,"6,8,20,22,32,33,36,26"
25/07/2020,"8,9,11,20,23,30,34,19"
1/8/2020,"1,8,9,11,18,31,34,7"
8/8/2020,"7,9,10,11,12,23,28,25"
15/08/2020,"11,16,22,24,27,29,35,10"
22/08/2020,"5,6,14,18,20,22,35,10"
29/08/2020,"11,13,15,19,20,26,35,23"
5/9/2020,"9,12,14,19,21,22,33,36"
12/9/2020,"6,7,8,9,19,31,32,18"
19/09/2020,"8,14,19,22,32,34,35,30"
26/09/2020,"1,6,14,18,19,24,34,10"
3/10/2020,"6,9,13,22,26,34,36,33"
10/10/2020,"1,2,6,8,11,28,33,5"
17/10/2020,"3,7,13,14,18,20,26,21"
24/10/2020,"11,13,14,21,23,34,36,28"
